id,nivel_agregacion,variable_tecnica,definicion_operacional,fuente_origen,justificacion_econometrica
1,1. Por distrito y cultivo,control_sexo,% de Unidades Agropecuarias (UAs) dirigidas por mujeres jefas de hogar (0-100%).,ENA - Módulo 1100 (P1103 filtrado por jefe P1102 == 1).,Controla sesgos de género en el acceso a cadenas de comercialización y fletes.
2,1. Por distrito y cultivo,control_edad,Logaritmo natural de la edad promedio del productor principal del cultivo.,ENA - Módulo 1100 (P1104_A filtrado por jefe P1102 == 1).,Captura la experiencia biológica y el ciclo de vida del agricultor en las decisiones de venta.
3,1. Por distrito y cultivo,control_educ,% de productores jefes con educación secundaria completa o nivel superior (0-100%).,ENA - Módulo 1100 (P1105 >= 6 filtrado por jefe P1102 == 1).,Controla el nivel de capital humano y la asimetría de información frente a intermediarios.
4,1. Por distrito y cultivo,control_asociacion,% de agricultores del cultivo agremiados en cooperativas o asociaciones (0-100%).,ENA - Módulo 800 (P801 == 1).,Mide el poder de negociación colectiva y economías de escala para reducir el flete.
5,1. Por distrito y cultivo,control_cred,% de productores que solicitaron y obtuvieron financiamiento agrícola formal (0-100%).,ENA - Módulo 900 (P901 == 1).,Controla la restricción de liquidez para trasladar la cosecha fuera de la chacra.
6,2. Por distrito,poblacion_distrital,"Número total de habitantes proyectado por distrito para los años base (2017, 2018, 2022).",INEI - Estado de la Población Peruana (Compendio de Proyecciones por Distrito).,Captura el tamaño de la demanda de consumo local y las dimensiones del mercado interno.
7,2. Por distrito,n_mercados_preexistentes,"Conteo físico de mercados minoristas, de abastos o ferias locales operando en el distrito (2017, 2018, 2022).",INEI - Censo Nacional de Mercados de Abasto (CENAMA): Directorio de Mercados.,Mide la infraestructura comercial local preexistente y la oferta de puntos de venta internos.
8,2. Por distrito,n_agricultores_proxy,Número absoluto de productores agrícolas registrados en el territorio (Valor Fijo).,INEI - IV Censo Nacional Agropecuario (CENAGRO): Cuadros por Distrito.,Proxy indispensable de la densidad y presión de oferta de productores compitiendo en la zona.
9,2. Por distrito,pct_mercado_mayorista_mixto,"% de mercados en el distrito o provincia que califican como Mayoristas o Mixtos (2017, 2018, 2022).",INEI - CENAMA / MINAGRI (SISAP): Clasificación por tipo de establecimiento.,Captura la capacidad del clúster para consolidar grandes volúmenes de carga pesada.
10,2. Por distrito,superficie_cosechada_suma,"Suma agregada en hectáreas de la superficie cosechada total del distrito (2017, 2018, 2022).",MINAGRI - SIEA (Estadística Agraria Mensual por Distrito/Provincia).,Mide el volumen bruto y la escala de la frontera agrícola activa en el ubigeo.
11,2. Por distrito,pct_superficie_cosechada,"% de la superficie geográfica útil dedicada a la actividad agrícola o cosechada (2017, 2018, 2022).",MINAGRI - SIEA / INEI Límite distrital.,"Mide la vocación, intensidad y especialización del uso de la tierra en el ubigeo."
12,2. Por distrito,var_superficie_cosechada,"Varianza o desviación estándar del tamaño de las parcelas agrícolas del distrito (2017, 2018, 2022).",INEI - IV CENAGRO / SIEA (Distribución de frecuencia del tamaño de fincas).,Controla el sesgo de escala agraria; distingue zonas homogéneas de minifundio de latifundios.
13,2. Por distrito,superficie_km2,Extensión territorial física del distrito medida en kilómetros cuadrados (Constante).,INEI / IGN (Diccionario Geográfico Nacional y Límite Distrital shapefile).,Controla la dispersión geográfica y la distancia interna promedio para salir al eje vial.
14,2. Por distrito,altitud_distrital,Elevación media en metros sobre el nivel del mar (m.s.n.m.) del centroide distrital.,INEI / MINAM (Diccionario de Ubigeos con variables ecológicas fijas).,Controla los pisos ecológicos determinantes del tipo de cultivo y dificultad topográfica.
15,3. Por departamento,pct_pavimentacion_vecinal,Variable de Tratamiento Continuo: % de km de la red vial vecinal pavimentada en la región.,MTC - Oficina de Planeamiento y Presupuesto (Anuarios de la Red Vial).,Mide la intensidad y exposición del territorio al choque de inversión en obras públicas.
16,3. Por departamento,vab_agropecuario_real,Valor Agregado Bruto (VAB) de la actividad Agricultura a precios constantes de 2007.,INEI - Cuentas Nacionales / Departamentales (Series del PBI por Actividad).,Controla el tamaño económico del sector y choques agregados climáticos regionales (ej: El Niño).
